,PC
20,0.008905852417302799
31,0.01653944020356234
8,0.008057675996607293
4,0.016963528413910092
38,0.037319762510602206
14,0.008481764206955046
6,0.031806615776081425
41,0.004240882103477523
12,0.04749787955894826
42,0.04198473282442748
17,0.006785411365564037
15,0.005937234944868533
1,0.062340966921119595
9,0.004240882103477523
5,0.10347752332485156
0,0.1111111111111111
3,0.0008481764206955047
18,0.12298558100084818
40,0.010178117048346057
22,0.0008481764206955047
2,0.08481764206955046
10,0.00042408821034775233
36,0.001272264631043257
13,0.0016963528413910093
35,0.0016963528413910093
11,0.001272264631043257
33,0.00042408821034775233
21,0.0008481764206955047
16,0.0033927056827820186
28,0.002544529262086514
24,0.0008481764206955047
37,0.010178117048346057
23,0.0008481764206955047
19,0.006361323155216285
7,0.00042408821034775233
29,0.010178117048346057
30,0.010178117048346057
39,0.00042408821034775233
32,0.03859202714164546
27,0.004240882103477523
34,0.0008481764206955047
26,0.11195928753180662
25,0.05597964376590331
